id,input,expected_output,expected_tools,expected_tool_sequence,category,difficulty,success_criteria_must_include,success_criteria_must_not_include,tool_usage_valid,cost_optimized,tags,requires_knowledge,edge_case
1,"Wie richte ich Bitwarden zum ersten Mal ein?","Um Bitwarden zum ersten Mal einzurichten, folgen Sie diesen Schritten: 1. Erstellen Sie ein Konto auf bitwarden.com oder über die App[1]. 2. Wählen Sie ein starkes Master-Passwort[1]. 3. Installieren Sie die Browser-Erweiterung[2]. 4. Melden Sie sich mit Ihren Zugangsdaten an[2].","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden einrichten erste Schritte"", ""notebook_id"": ""<notebook>"", ""full_text_weight"": 1.0, ""semantic_weight"": 1.0}, ""rationale"": ""Search for Bitwarden onboarding documentation""}]","[""fusion_search""]",product_information,easy,"Bitwarden;Master-Passwort;Browser-Erweiterung;Konto erstellen","LastPass;1Password;falsches Passwort",true,true,"bitwarden;onboarding;setup","Bitwarden Onboarding",false
2,"Was sind die Autofill-Funktionen der Bitwarden Browser-Erweiterung?","Die Bitwarden Browser-Erweiterung bietet folgende Autofill-Funktionen: Automatisches Ausfüllen von Benutzername und Passwort auf Webseiten[1], Tastenkombination für schnelles Ausfüllen[1], Kontextmenü-Option zum Ausfüllen[2], und Inline-Autofill direkt in Formularfeldern[2].","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Autofill Browser Erweiterung Funktionen"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Retrieve autofill features from Bitwarden extension documentation""}]","[""fusion_search""]",product_information,easy,"Autofill;Browser-Erweiterung;Formular;Passwort;Tastenkombination","Chrome;Firefox;Edge",true,true,"bitwarden;autofill;browser","Bitwarden Browser Extension",false
3,"Wie kann ich meine Passwörter von einem anderen Passwort-Manager zu Bitwarden importieren?","Um Passwörter zu Bitwarden zu importieren: 1. Exportieren Sie Ihre Passwörter aus dem alten Manager als CSV-Datei[1]. 2. Öffnen Sie Bitwarden Web Vault[1]. 3. Gehen Sie zu Werkzeuge > Daten importieren[1]. 4. Wählen Sie das Format Ihres vorherigen Managers[2]. 5. Laden Sie die CSV-Datei hoch[2]. 6. Überprüfen Sie die importierten Einträge[2].","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Passwörter importieren Bitwarden anderer Manager CSV"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Find password import procedure documentation""}]","[""fusion_search""]",technical_support,medium,"CSV;importieren;exportieren;Web Vault;Werkzeuge","1Password;LastPass;Dashlane (specific competitor names unless in docs)",true,true,"bitwarden;import;migration","Bitwarden Password Import",false
4,"Welche neuen Features gibt es in App Version 1.12.0?","Die App Version 1.12.0 enthält folgende neue Features: [Die spezifischen Features aus dem Dokument 'Prozessbes-Features der App-Version 1.12.0' werden hier aufgelistet mit korrekten Zitaten]","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""App Version 1.12.0 neue Features Funktionen"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for version 1.12.0 release notes and features""}]","[""fusion_search""]",product_information,medium,"Version 1.12.0;Features;neu","Version 1.10;falsche Versionsnummer",true,true,"app;features;release-notes","App Features v1.12.0",false
5,"Was ist der Unterschied zwischen App Version 1.10.12 und 1.12.0?","Im Vergleich zwischen den Versionen: Version 1.10.12 enthielt [Features aus v1.10.12][1]. Version 1.12.0 führte zusätzlich [neue Features aus v1.12.0][2] ein. Die wichtigsten Unterschiede sind [spezifische Unterschiede mit Zitaten][1][2].","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""App Version 1.10.12 Features"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""First search for older version features""}, {""tool"": ""fusion_search"", ""parameters"": {""question"": ""App Version 1.12.0 Features neu"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Then search for newer version to compare""}]","[""fusion_search"", ""fusion_search""]",complex_workflow,hard,"Version 1.10.12;Version 1.12.0;Unterschied;Vergleich","erfundene Features",true,false,"app;version-comparison;features","App Features v1.10.12;App Features v1.12.0",false
6,"Wie funktioniert die Dokumentation der App?","Die App-Dokumentation beschreibt [Inhalte aus dem Dokumentations-PDF mit korrekten Zitaten]. Sie können auf die Dokumentation zugreifen über [Zugriffsmethode][1].","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""App Dokumentation Zugriff Inhalte"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for app documentation overview""}]","[""fusion_search""]",product_information,easy,"Dokumentation;App","falscher App-Name",true,true,"documentation;app;help","App Documentation",false
7,"Ich habe mein Bitwarden Master-Passwort vergessen. Was kann ich tun?","Ich kann diese Frage nicht vollständig beantworten, da die Suchergebnisse keine spezifischen Informationen zur Wiederherstellung eines vergessenen Master-Passworts enthalten. Sie sollten die offizielle Bitwarden-Website oder den Support kontaktieren für Optionen wie Account-Wiederherstellung oder Notfall-Zugang.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Master-Passwort vergessen Wiederherstellung"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for password recovery documentation""}, {""tool"": ""escalate_to_human"", ""parameters"": {""reason"": ""Information not found in knowledge base"", ""priority"": ""medium""}, ""rationale"": ""Escalate as recovery info may not be in docs""}]","[""fusion_search"", ""escalate_to_human""]",escalation_required,medium,"nicht vollständig beantworten;Suchergebnisse;kontaktieren","falsches Wiederherstellungsverfahren;erfundene Methoden",true,true,"bitwarden;password-recovery;escalation","Bitwarden Onboarding",true
8,"Erkläre mir den Pfleiderer Arnsberg Report","Der Pfleiderer Arnsberg Report behandelt [Zusammenfassung des Berichtsinhalts mit spezifischen Daten und Zitaten aus dem Dokument][1]. Die wichtigsten Erkenntnisse sind [Key Findings mit Zitaten][2].","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Pfleiderer Arnsberg Report Inhalt Zusammenfassung"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for Pfleiderer report content""}]","[""fusion_search""]",product_information,medium,"Pfleiderer;Arnsberg;Report","erfundene Daten;falsche Firmennamen",true,true,"report;business;pfleiderer","Pfleiderer Arnsberg Report",false
9,"","Bitte stellen Sie eine Frage, damit ich Ihnen helfen kann.","[]","[]",boundary_case,easy,"Frage stellen","technische Antwort auf leere Eingabe",true,true,"edge-case;empty-input;validation","N/A",true
10,"asdfghjkl xyz 12345","Ich kann Ihre Anfrage nicht verstehen. Bitte formulieren Sie Ihre Frage klarer, damit ich Ihnen mit Informationen aus der Wissensdatenbank helfen kann.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""asdfghjkl xyz 12345"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Attempt search even for unclear query""}]","[""fusion_search""]",boundary_case,easy,"nicht verstehen;klarer formulieren","erfundene Interpretation;technische Fehlermeldung",true,true,"edge-case;nonsense-input;validation","N/A",true
